CourseID,Hole,POI,Location,SideOfFairway,Latitude,Longitude
1105611211306,1,Green,F,C,36.5383889,-4.7207366
1105611211306,1,Green,C,C,36.5383447,-4.7206004
1105611211306,1,Green,B,C,36.5382763,-4.7204664
1105611211306,1,"Tee Front",C,C,36.5396278,-4.7225825
1105611211306,1,"Tee Back",C,C,36.5401579,-4.723237
1105611211306,2,Green,F,C,36.5364564,-4.719313
1105611211306,2,Green,C,C,36.5363556,-4.7192693
1105611211306,2,Green,B,C,36.5362657,-4.7192177
1105611211306,2,"Tee Front",C,C,36.5378736,-4.7203831
1105611211306,2,"Tee Back",C,C,36.5381365,-4.7211931
1105611211306,3,Green,F,C,36.5374018,-4.7182736
1105611211306,3,Green,C,C,36.5374856,-4.7182259
1105611211306,3,Green,B,C,36.5375678,-4.7181838
1105611211306,3,"Tee Front",C,C,36.536865,-4.7186021
1105611211306,3,"Tee Back",C,C,36.5364081,-4.7188381
1105611211306,4,Green,F,C,36.5361691,-4.7151503
1105611211306,4,Green,C,C,36.5361035,-4.7150489
1105611211306,4,Green,B,C,36.5360366,-4.7149451
1105611211306,4,"Tee Front",C,C,36.5370697,-4.7167675
1105611211306,4,"Tee Back",C,C,36.5375891,-4.7176151
1105611211306,5,Green,F,C,36.5383011,-4.7111666
1105611211306,5,Green,C,C,36.5383987,-4.7110393
1105611211306,5,Green,B,C,36.5385019,-4.7108748
1105611211306,5,"Tee Front",C,C,36.5369857,-4.7146003
1105611211306,5,"Tee Back",C,C,36.5366926,-4.7154532
1105611211306,6,Green,F,C,36.5379542,-4.7137685
1105611211306,6,Green,C,C,36.5378588,-4.7138184
1105611211306,6,Green,B,C,36.5377753,-4.7138771
1105611211306,6,"Tee Front",C,C,36.5387787,-4.7112368
1105611211306,6,"Tee Back",C,C,36.5386882,-4.7104321
1105611211306,7,Green,F,C,36.5375311,-4.715286
1105611211306,7,Green,C,C,36.5375371,-4.7153687
1105611211306,7,Green,B,C,36.5375494,-4.7154563
1105611211306,7,"Tee Front",C,C,36.5375137,-4.7144849
1105611211306,7,"Tee Back",C,C,36.5375611,-4.7135301
1105611211306,8,Green,F,C,36.5393879,-4.7188979
1105611211306,8,Green,C,C,36.5393972,-4.718987
1105611211306,8,Green,B,C,36.5394054,-4.7190811
1105611211306,8,"Tee Front",C,C,36.538033,-4.7165556
1105611211306,8,"Tee Back",C,C,36.5376904,-4.7159762
1105611211306,9,Green,F,C,36.5404393,-4.7226145
1105611211306,9,Green,C,C,36.5405014,-4.7226603
1105611211306,9,Green,B,C,36.5405659,-4.7227165
1105611211306,9,"Tee Front",C,C,36.5389338,-4.7193799
1105611211306,9,"Tee Back",C,C,36.5389317,-4.7188033
1105611211306,10,Green,F,C,36.5396028,-4.7170711
1105611211306,10,Green,C,C,36.5395563,-4.7169378
1105611211306,10,Green,B,C,36.5395392,-4.7168057
1105611211306,10,"Tee Front",C,C,36.5406255,-4.7209651
1105611211306,10,"Tee Back",C,C,36.5409897,-4.7216625
1105611211306,11,Green,F,C,36.5415403,-4.7161028
1105611211306,11,Green,C,C,36.5416545,-4.7160286
1105611211306,11,Green,B,C,36.5416776,-4.7159409
1105611211306,11,"Tee Front",C,C,36.5410457,-4.7165153
1105611211306,11,"Tee Back",C,C,36.5403217,-4.7167567
1105611211306,12,Green,F,C,36.5387503,-4.7159446
1105611211306,12,Green,C,C,36.5386981,-4.7160248
1105611211306,12,Green,B,C,36.538642,-4.716137
1105611211306,12,"Tee Front",C,C,36.5413,-4.7156088
1105611211306,12,"Tee Back",C,C,36.5418129,-4.7156114
1105611211306,13,Green,F,C,36.5400179,-4.7128826
1105611211306,13,Green,C,C,36.5400695,-4.7127837
1105611211306,13,Green,B,C,36.5401138,-4.7126988
1105611211306,13,"Tee Front",C,C,36.5386752,-4.7153191
1105611211306,13,"Tee Back",C,C,36.5385675,-4.7164778
1105611211306,14,Green,F,C,36.5391582,-4.7151011
1105611211306,14,Green,C,C,36.5390903,-4.7151692
1105611211306,14,Green,B,C,36.5390214,-4.7152473
1105611211306,14,"Tee Front",C,C,36.5403044,-4.7139351
1105611211306,14,"Tee Back",C,C,36.5408906,-4.713066
1105611211306,15,Green,F,C,36.5420916,-4.713693
1105611211306,15,Green,C,C,36.542193,-4.7136471
1105611211306,15,Green,B,C,36.5422832,-4.7136135
1105611211306,15,"Tee Front",C,C,36.5403087,-4.7148685
1105611211306,15,"Tee Back",C,C,36.5395416,-4.7153459
1105611211306,16,Green,F,C,36.5429218,-4.7181734
1105611211306,16,Green,C,C,36.5429069,-4.7182863
1105611211306,16,Green,B,C,36.5428873,-4.7184202
1105611211306,16,"Tee Front",C,C,36.5434097,-4.7148122
